siteTransect,s1d,s1nt,s2d,s2nt,s3d,s3nt,s4d,s4nt,s4.2d,s4.2nt,s5d,s5nt,s6d,s6nt,s7d,s7nt,s8d,s8nt
OOG1FT1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,0,NA,NA
OOG1FT2,0,0,4,1,0,1,1,2,NA,NA,0,0,0,0,0,0,NA,NA
OOG1FT3,2,0,0,1,1,0,0,1,NA,NA,0,0,2,0,2,1,NA,NA
OOG1RT1,0,0,0,6,0,0,0,0,NA,NA,0,1,0,0,0,0,NA,NA
OOG1RT2,0,0,0,2,0,0,1,0,NA,NA,0,0,0,0,0,0,NA,NA
OOG1RT3,0,0,0,2,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OOG2FT1,0,1,1,2,0,0,0,2,NA,NA,0,0,0,1,0,1,NA,NA
OOG2FT2,0,0,0,0,1,0,0,1,NA,NA,0,0,0,0,0,1,NA,NA
OOG2FT3,1,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OOG2RT1,0,0,0,2,0,0,0,2,NA,NA,0,0,0,0,0,0,NA,NA
OOG2RT2,0,0,1,1,0,0,0,7,NA,NA,0,0,0,0,0,0,NA,NA
OOG2RT3,0,0,3,2,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OOG3FT1,NA,NA,2,1,1,1,0,2,NA,NA,0,1,1,0,0,0,NA,NA
OOG3FT2,NA,NA,2,1,0,0,0,0,NA,NA,0,0,0,0,3,0,NA,NA
OOG3FT3,NA,NA,2,0,1,0,0,0,NA,NA,0,0,1,0,3,1,NA,NA
OOG3RT1,NA,NA,1,0,0,0,0,1,NA,NA,1,3,0,0,0,0,NA,NA
OOG3RT2,NA,NA,4,3,0,0,0,3,NA,NA,6,5,0,0,0,0,NA,NA
OOG3RT3,NA,NA,1,4,0,0,0,1,NA,NA,4,2,0,0,0,1,NA,NA
OPOT1 FT1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT1 FT2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT1 FT3,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT1RT1,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,NA
OPOT1RT2,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,NA,NA
OPOT1RT3,0,0,0,0,0,0,0,0,NA,NA,1,3,0,0,0,0,NA,NA
OPOT2 FT1,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT2 FT2,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT2 FT3,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT2 RT1,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT2 RT2,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT2 RT3,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT3 FT1,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT3 FT2,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
OPOT3 FT3,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
